"County","SiteName","Grade","# Documentation Required (Adjusted Enrollment)","# Vaccinated DTaP/Tdap","% Vaccinated DTaP/Tdap","# Vaccinated Polio","% Vaccinated Polio","# Vaccinated Varicella","% Vaccinated Varicella","# Vaccinated MMR1","% Vaccinated Mumps/Rubella","# Vaccinated Measles","% Vaccinated Measles","# Vaccinated HepB","% Vaccinated HepB","# Requiring HepA","# Vaccinated HepA","% Vaccinated HepA","# with all vaccines required","% with all vaccines required","# Nonmedical Exemptions Any Vaccines","% Nonmedical Exemptions Any Vaccines","# Exemption DTaP/Tdap","% Exemption DTaP/Tdap","# Exemption Polio","% Exemption Polio","# Exemption Varicella","% Exemption Varicella","# Exemption Measles","% Exemption Measles","# Exemption Mumps","% Exemption Mumps","# Exemption Rubella","% Exemption Rubella","# Exemption HepB","% Exemption HepB","# Exemption HepA","% Exemption HepA","# Nonmedical Exemptions All Vaccines","% Nonmedical Exemptions All Vaccines","# No Record","% No Record","# w/ Medical Exemption(s)","% w/ Medical Exemption(s)","# Not Counted","site","lon","lat"
"Marion","Woodburn H.S. (WAAST)","FULL SCHOOL GRADES K-12","407",383,0.941031941031941,390,0.958230958230958,392,0.963144963144963,391,0.960687960687961,388,0.953316953316953,391,0.960687960687961,"228",220,0.964912280701754,383,0.941031941031941,24,0.058968058968059,24,0.058968058968059,17,0.0417690417690418,15,0.0368550368550369,19,0.0466830466830467,16,0.0393120393120393,16,0.0393120393120393,16,0.0393120393120393,8,0.0350877192982456,7,0.0171990171990172,0,0,0,0,0,"Woodburn H.S. (WAAST), Marion County, OR",-122.8477898,45.1533294
"Marion","Woodburn H.S. (WACA)","FULL SCHOOL GRADES K-12","344",340,0.988372093023256,340,0.988372093023256,340,0.988372093023256,341,0.991279069767442,340,0.988372093023256,340,0.988372093023256,"187",183,0.978609625668449,339,0.98546511627907,4,0.0116279069767442,4,0.0116279069767442,4,0.0116279069767442,4,0.0116279069767442,4,0.0116279069767442,3,0.00872093023255814,3,0.00872093023255814,4,0.0116279069767442,3,0.0160427807486631,2,0.00581395348837209,0,0,0,0,0,"Woodburn H.S. (WACA), Marion County, OR",-122.8477898,45.1533294
"Marion","Woodburn H.S. (WEBSS)","FULL SCHOOL GRADES K-12","396",366,0.924242424242424,375,0.946969696969697,375,0.946969696969697,375,0.946969696969697,370,0.934343434343434,373,0.941919191919192,"209",196,0.937799043062201,365,0.921717171717172,29,0.0732323232323232,29,0.0732323232323232,21,0.053030303030303,21,0.053030303030303,26,0.0656565656565657,21,0.053030303030303,21,0.053030303030303,22,0.0555555555555556,12,0.0574162679425837,10,0.0252525252525253,0,0,1,0.00252525252525253,0,"Woodburn H.S. (WEBSS), Marion County, OR",-122.8477898,45.1533294
"Marion","Woodburn H.S.(AIS)","FULL SCHOOL GRADES K-12","272",261,0.959558823529412,263,0.966911764705882,268,0.985294117647059,270,0.992647058823529,267,0.981617647058823,267,0.981617647058823,"160",143,0.89375,251,0.922794117647059,5,0.0183823529411765,4,0.0147058823529412,3,0.0110294117647059,2,0.00735294117647059,3,0.0110294117647059,2,0.00735294117647059,2,0.00735294117647059,2,0.00735294117647059,4,0.025,2,0.00735294117647059,0,0,1,0.00367647058823529,0,"Woodburn H.S.(AIS), Marion County, OR",-122.8477898,45.1533294
"Marion","Woodburn H.S.SUCCESS","FULL SCHOOL GRADES K-12","70",70,1,70,1,70,1,70,1,70,1,70,1,"11",11,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodburn H.S.SUCCESS, Marion County, OR",-122.8553724,45.143731
"Marion","Wright Elementary","FULL SCHOOL GRADES K-12","410",399,0.973170731707317,401,0.978048780487805,403,0.982926829268293,401,0.978048780487805,400,0.975609756097561,401,0.978048780487805,"410",398,0.970731707317073,394,0.960975609756098,11,0.0268292682926829,8,0.0195121951219512,8,0.0195121951219512,7,0.0170731707317073,8,0.0195121951219512,6,0.0146341463414634,6,0.0146341463414634,7,0.0170731707317073,10,0.024390243902439,6,0.0146341463414634,0,0,0,0,0,"Wright Elementary, Marion County, OR",-123.0472196,44.8961691
"Marion","Yoshikai Elementary","FULL SCHOOL GRADES K-12","544",538,0.988970588235294,539,0.990808823529412,540,0.992647058823529,538,0.988970588235294,537,0.987132352941177,540,0.992647058823529,"544",536,0.985294117647059,533,0.979779411764706,6,0.0110294117647059,6,0.0110294117647059,5,0.00919117647058824,4,0.00735294117647059,6,0.0110294117647059,4,0.00735294117647059,4,0.00735294117647059,4,0.00735294117647059,4,0.00735294117647059,4,0.00735294117647059,0,0,0,0,0,"Yoshikai Elementary, Marion County, OR",-122.9614453,44.9851695
"Morrow","AC HOUGHTON ELEMENTARY","FULL SCHOOL GRADES K-12","259",254,0.980694980694981,256,0.988416988416988,257,0.992277992277992,257,0.992277992277992,255,0.984555984555985,257,0.992277992277992,"259",254,0.980694980694981,251,0.969111969111969,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,2,0.00772200772200772,0,0,1,0.00386100386100386,2,"AC HOUGHTON ELEMENTARY, Morrow County, OR",-119.4873858,45.8975301
"Morrow","HEPPNER ELEMENTARY","FULL SCHOOL GRADES K-12","164",160,0.975609756097561,160,0.975609756097561,163,0.99390243902439,163,0.99390243902439,161,0.981707317073171,161,0.981707317073171,"164",158,0.963414634146341,158,0.963414634146341,4,0.024390243902439,3,0.0182926829268293,3,0.0182926829268293,1,0.00609756097560976,3,0.0182926829268293,1,0.00609756097560976,1,0.00609756097560976,3,0.0182926829268293,4,0.024390243902439,1,0.00609756097560976,0,0,0,0,0,"HEPPNER ELEMENTARY, Morrow County, OR",-119.5508618,45.357249
"Morrow","Heppner High/Middle School","FULL SCHOOL GRADES K-12","169",166,0.982248520710059,166,0.982248520710059,169,1,169,1,166,0.982248520710059,167,0.988165680473373,"107",105,0.981308411214953,163,0.964497041420118,6,0.0355029585798817,1,0.00591715976331361,3,0.0177514792899408,0,0,3,0.0177514792899408,0,0,0,0,2,0.0118343195266272,2,0.0186915887850467,0,0,0,0,0,0,0,"Heppner High/Middle School, Morrow County, OR",-119.5653059,45.3609118
