"lon","lat","site"
-120.5474424,46.4036356,"50 DANE AVE, HARRAH, WA"
-120.5444227,46.4062687,"P.O. BOX 159, HARRAH, WA"
-118.2544187,47.4809872,"PO BOX 204, HARRINGTON, WA"
-122.2092361,47.8744728,"1508 136TH ST. SE, EVERETT, WA"
-117.0667395,46.4049827,"1432 HIGHLAND ST, CLARKSTON, WA"
-120.7139833,46.6710606,"PO BOX 38, COWICHE, WA"
-122.1055174,47.9930438,"9315 4TH STREET SE, EVERETT, WA"
-124.0432099,46.3089891,"PO BOX F, ILWACO, WA"
-120.0168079,47.8408323,"HCOO STOP 2, CHELAN, WA"
-122.5910056,48.8464991,"P.O. BOX 1769, FERNDALE, WA"
-121.4864619,45.7276194,"PO BOX 1279, WHITE SALMON, WA"
-118.1991116,48.3019338,"1 HORNET AVENUE, INCHELIUM, WA"
-122.3310029,47.580999,"PO BOX 34165, SEATTLE, WA"
-117.1539897,47.6778671,"13313 E BARKER, SPOKANE VALLEY, WA"
-120.3147016,47.4240367,"12 N CHELAN ST (MAIL: 1416 S HILLS DR WENATCHEE WA 98801-3218), WENATCHEE, WA"
-122.953713,47.0611035,"1919 ROAD SIXTY FIVE NW, OLYMPIA, WA"
-118.5569314,46.643197,"PO BOX 69, KAHLOTUS, WA"
-118.6869543,48.0784536,"P.O. BOX 367, KELLER, WA"
-118.0558218,48.6107354,"PO BOX 458, KETTLE FALLS, WA"
-120.4170102,46.9831822,"PO BOX 599, KITTITAS, WA"
-122.6947192,47.6544799,"P.O. BOX 8, SILVERDALE, WA"
-121.1525716,45.8170668,"P. O. BOX 37, KLICKITAT, WA"
-122.6556775,45.8616312,"PO BOX 1810, LA CENTER, WA"
-122.4896904,48.3949905,"PO BOX 2103, LA CONNER, WA"
-117.8818834,46.8140449,"100 HILL STREET, LACROSSE, WA"
-122.5096527,47.1681996,"P.O. BOX 40, NORTH LAKEWOOD, WA"
-122.207954,48.1519447,"PO BOX 10, NORTH LAKEWOOD, WA"
-122.2084296,48.1517443,"P.O. BOX 9, NORTH LAKEWOOD, WA"
-122.1528366,47.4261323,"19660 142ND AVE SE, KENT, WA"
-122.1806252,47.5343421,"6601 132ND AVE NE (MAIL: 11935 SE 76TH ST NEWCASTLE WA 98056-1777), KIRKLAND, WA"
-120.3307039,47.437838,"1130 PRINCETON, WENATCHEE, WA"
-119.1862204,46.1893699,"4901 WEST 21ST AVENUE, KENNEWICK, WA"
-118.6152653,46.9720892,"PO BOX 340, LIND, WA"
-123.0179181,46.9017652,"BOX C, LITTLEROCK, WA"
-120.1861956,48.4779232,"PO BOX 608, WINTHROP, WA"
-121.2861833,45.695954,"P.O. BOX 368, LYLE, WA"
-122.0618175,48.5270545,"PO BOX 1308, LYMAN, WA"
-119.9967079,46.2148534,"P.O. BOX 38, MABTON, WA"
-119.6367141,47.8115323,"P.O. BOX 188, MANSFIELD, WA"
-120.0222043,47.8422414,"BOX A, MANSON, WA"
-120.0171912,47.8406251,"PO BOX A, MANSON, WA"
-119.0347569,47.3492275,"21344 RD 18 NE, WARDEN, WA"
-123.4420395,47.2818834,"1500 W BEEVILLE LOOP RD, ELMA, WA"
-117.7413489,48.0573924,"PO BOX 159, SPRINGDALE, WA"
-119.897128,46.7409257,"P.O. BOX 907, MATTAWA, WA"
-122.5904417,47.1355044,"10285 COMPASS AVE, JBLM LEWIS MCCHORD, WA"
-119.0016192,46.5752748,"600 W PEPIOT, MESA, WA"
-117.6606452,47.6316336,"400 W. FAIRCHILD HIGHWAY, FAIRCHILD AFB, WA"
-122.1885044,47.8630488,"3400 148TH ST. SE, EVERETT, WA"
-123.605866,46.985092,"MONTESANO LEARNING ACADEMY, MONTESANO, WA"
-122.2725764,46.5526167,"PO BOX L, MORTON, WA"
-122.2725764,46.5526167,"PO BOX F, MORTON, WA"
-122.4851112,46.5295517,"P.O. BOX 478, MOSSYROCK, WA"
-122.4851112,46.5295517,"P O BOX 455, MOSSYROCK, WA"
-122.4851112,46.5295517,"PO BOX 454, MOSSYROCK, WA"
-120.7322809,46.3794423,"P.O. BOX 578, WHITE SWAN, WA"
-122.0267787,47.1631573,"PO BOX 2390, BUCKLEY, WA"
-122.2030474,48.7160557,"PO BOX 9, ACME, WA"
-120.3831623,46.5537327,"PO BOX 69, MOXEE, WA"
-123.0997898,47.2039262,"206 E WYANDOTTE, SHELTON, WA"
-120.6854841,46.7236005,"151 BONLOW DR, YAKIMA, WA"
-120.7032046,46.7361556,"PO BOX 159, NACHES, WA"
-120.699516,46.730958,"PO BOX 39, NACHES, WA"
-122.9081782,46.5745496,"PO BOX 837, NAPAVINE, WA"
-122.9081782,46.5745496,"PO BOX 357, NAPAVINE, WA"
-124.6251225,48.3655814,"3560 DEER STREET, NEAH BAY, WA"
-118.9747476,48.1671004,"PO BOX 291, NESPELEM, WA"
-122.9145599,46.9826989,"7299 NEW MARKET S SW, TUMWATER, WA"
-122.9145599,46.9826989,"7299 NEW MARKET STREET, TUMWATER, WA"
-117.0432583,48.1796277,"P. O. BOX 70, NEWPORT, WA"
-124.1581596,47.019096,"PO BOX 969, OCEAN SHORES, WA"
-124.1581596,47.019096,"P.O. BOX 969, OCEAN SHORES, WA"
-117.7816505,48.9160223,"PO BOX 1280, NORTHPORT, WA"
-117.2426823,47.1282275,"P.O. BOX 228, OAKESDALE, WA"
-123.2323686,46.8403765,"PO BOX H, OAKVILLE, WA"
-124.154814,46.9780749,"300 MT. OLYMPUS WAY, OCEAN SHORES, WA"
-118.6908273,47.3332023,"P.O. BOX 248, ODESSA, WA"
-122.6947192,47.6544799,"PO BOX 8, SILVERDALE, WA"
-119.5833869,48.361262,"PO BOX 592, OKANOGAN, WA"
-122.5716292,47.432379,"6100 SE DENNY BOND BLVD, PORT ORCHARD, WA"
