"datetime","state","location","aqi"
2019-06-16 11:00:05,"Washington","Aberdeen","8"
2019-06-16 11:00:05,"Washington","Anacortes","15"
2019-06-16 11:00:05,"Washington","Bellingham","17"
2019-06-16 11:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 11:00:05,"Washington","Cascade foothills of King County","29"
2019-06-16 11:00:05,"Washington","Cascade foothills of east King-Pierce counties","16"
2019-06-16 11:00:05,"Washington","Cheeka Peak","16"
2019-06-16 11:00:05,"Washington","Chehalis","11"
2019-06-16 11:00:05,"Washington","Chelan","18"
2019-06-16 11:00:05,"Washington","Clarkston","35"
2019-06-16 11:00:05,"Washington","Colville","23"
2019-06-16 11:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 11:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","23"
2019-06-16 11:00:05,"Washington","Darrington","21"
2019-06-16 11:00:05,"Washington","Ellensburg","41"
2019-06-16 11:00:05,"Washington","Everett-Marysville-Lynnwood","2"
2019-06-16 11:00:05,"Washington","Inchelium",""
2019-06-16 11:00:05,"Washington","Kennewick","34"
2019-06-16 11:00:05,"Washington","Leavenworth","18"
2019-06-16 11:00:05,"Washington","Longview","9"
2019-06-16 11:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","5"
2019-06-16 11:00:05,"Washington","Maple Falls","9"
2019-06-16 11:00:05,"Washington","Moses Lake","23"
2019-06-16 11:00:05,"Washington","Mount Vernon","3"
2019-06-16 11:00:05,"Washington","Mt. Rainier",""
2019-06-16 11:00:05,"Washington","Naches",""
2019-06-16 11:00:05,"Washington","Nespelem",""
2019-06-16 11:00:05,"Washington","Oak Harbor","5"
2019-06-16 11:00:05,"Washington","Olympia-Lacey-Tumwater","17"
2019-06-16 11:00:05,"Washington","Omak","30"
2019-06-16 11:00:05,"Washington","Port Angeles","10"
2019-06-16 11:00:05,"Washington","Port Townsend","17"
2019-06-16 11:00:05,"Washington","Pullman","13"
2019-06-16 11:00:05,"Washington","Raymond","7"
2019-06-16 11:00:05,"Washington","Seattle-Bellevue-Kent Valley","35"
2019-06-16 11:00:05,"Washington","Shelton","18"
2019-06-16 11:00:05,"Washington","Spokane","48"
2019-06-16 11:00:05,"Washington","Spokane Tribe of Spokane Reservation","18"
2019-06-16 11:00:05,"Washington","Sunnyside","36"
2019-06-16 11:00:05,"Washington","Tacoma-Puyallup","42"
2019-06-16 11:00:05,"Washington","Twisp","21"
2019-06-16 11:00:05,"Washington","Vancouver","15"
2019-06-16 11:00:05,"Washington","Walla Walla","17"
2019-06-16 11:00:05,"Washington","Wenatchee","22"
2019-06-16 11:00:05,"Washington","Winthrop","18"
2019-06-16 11:00:05,"Washington","Yacolt","14"
2019-06-16 11:00:05,"Washington","Yakima","17"
2019-06-16 12:00:05,"Washington","Aberdeen","9"
2019-06-16 12:00:05,"Washington","Anacortes","15"
2019-06-16 12:00:05,"Washington","Bellingham","17"
2019-06-16 12:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 12:00:05,"Washington","Cascade foothills of King County","26"
2019-06-16 12:00:05,"Washington","Cascade foothills of east King-Pierce counties","18"
2019-06-16 12:00:05,"Washington","Cheeka Peak","18"
2019-06-16 12:00:05,"Washington","Chehalis","11"
2019-06-16 12:00:05,"Washington","Chelan","18"
2019-06-16 12:00:05,"Washington","Clarkston","33"
2019-06-16 12:00:05,"Washington","Colville","23"
2019-06-16 12:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 12:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","20"
2019-06-16 12:00:05,"Washington","Darrington","13"
2019-06-16 12:00:05,"Washington","Ellensburg","27"
2019-06-16 12:00:05,"Washington","Everett-Marysville-Lynnwood","5"
2019-06-16 12:00:05,"Washington","Inchelium",""
2019-06-16 12:00:05,"Washington","Kennewick","37"
2019-06-16 12:00:05,"Washington","Leavenworth","18"
2019-06-16 12:00:05,"Washington","Longview","9"
2019-06-16 12:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","6"
2019-06-16 12:00:05,"Washington","Maple Falls","9"
2019-06-16 12:00:05,"Washington","Moses Lake","23"
2019-06-16 12:00:05,"Washington","Mount Vernon","3"
2019-06-16 12:00:05,"Washington","Mt. Rainier",""
2019-06-16 12:00:05,"Washington","Naches",""
2019-06-16 12:00:05,"Washington","Nespelem",""
2019-06-16 12:00:05,"Washington","Oak Harbor","5"
2019-06-16 12:00:05,"Washington","Olympia-Lacey-Tumwater","17"
2019-06-16 12:00:05,"Washington","Omak","46"
2019-06-16 12:00:05,"Washington","Port Angeles","10"
2019-06-16 12:00:05,"Washington","Port Townsend","15"
2019-06-16 12:00:05,"Washington","Pullman","13"
2019-06-16 12:00:05,"Washington","Raymond","8"
2019-06-16 12:00:05,"Washington","Seattle-Bellevue-Kent Valley","40"
2019-06-16 12:00:05,"Washington","Shelton","18"
2019-06-16 12:00:05,"Washington","Spokane","43"
2019-06-16 12:00:05,"Washington","Spokane Tribe of Spokane Reservation","19"
2019-06-16 12:00:05,"Washington","Sunnyside","34"
2019-06-16 12:00:05,"Washington","Tacoma-Puyallup","39"
2019-06-16 12:00:05,"Washington","Twisp","21"
2019-06-16 12:00:05,"Washington","Vancouver","15"
2019-06-16 12:00:05,"Washington","Walla Walla","17"
2019-06-16 12:00:05,"Washington","Wenatchee","22"
2019-06-16 12:00:05,"Washington","Winthrop","18"
2019-06-16 12:00:05,"Washington","Yacolt","14"
2019-06-16 12:00:05,"Washington","Yakima","17"
2019-06-16 13:00:05,"Washington","Aberdeen","8"
2019-06-16 13:00:05,"Washington","Anacortes","15"
2019-06-16 13:00:05,"Washington","Bellingham","19"
2019-06-16 13:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 13:00:05,"Washington","Cascade foothills of King County","24"
2019-06-16 13:00:05,"Washington","Cascade foothills of east King-Pierce counties","19"
2019-06-16 13:00:05,"Washington","Cheeka Peak","18"
2019-06-16 13:00:05,"Washington","Chehalis","10"
2019-06-16 13:00:05,"Washington","Chelan","20"
2019-06-16 13:00:05,"Washington","Clarkston","30"
2019-06-16 13:00:05,"Washington","Colville","22"
2019-06-16 13:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 13:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","20"
2019-06-16 13:00:05,"Washington","Darrington","8"
2019-06-16 13:00:05,"Washington","Ellensburg","15"
2019-06-16 13:00:05,"Washington","Everett-Marysville-Lynnwood","7"
2019-06-16 13:00:05,"Washington","Inchelium",""
2019-06-16 13:00:05,"Washington","Kennewick","42"
2019-06-16 13:00:05,"Washington","Leavenworth","18"
2019-06-16 13:00:05,"Washington","Longview","8"
2019-06-16 13:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","7"
2019-06-16 13:00:05,"Washington","Maple Falls","10"
2019-06-16 13:00:05,"Washington","Moses Lake","23"
2019-06-16 13:00:05,"Washington","Mount Vernon","3"
2019-06-16 13:00:05,"Washington","Mt. Rainier",""
2019-06-16 13:00:05,"Washington","Naches",""
2019-06-16 13:00:05,"Washington","Nespelem",""
2019-06-16 13:00:05,"Washington","Oak Harbor","5"
2019-06-16 13:00:05,"Washington","Olympia-Lacey-Tumwater","18"
2019-06-16 13:00:05,"Washington","Omak","38"
2019-06-16 13:00:05,"Washington","Port Angeles","10"
2019-06-16 13:00:05,"Washington","Port Townsend","14"
2019-06-16 13:00:05,"Washington","Pullman","13"
2019-06-16 13:00:05,"Washington","Raymond","8"
2019-06-16 13:00:05,"Washington","Seattle-Bellevue-Kent Valley","44"
2019-06-16 13:00:05,"Washington","Shelton","14"
2019-06-16 13:00:05,"Washington","Spokane","44"
2019-06-16 13:00:05,"Washington","Spokane Tribe of Spokane Reservation","19"
2019-06-16 13:00:05,"Washington","Sunnyside","32"
2019-06-16 13:00:05,"Washington","Tacoma-Puyallup","34"
2019-06-16 13:00:05,"Washington","Twisp","21"
2019-06-16 13:00:05,"Washington","Vancouver","18"
2019-06-16 13:00:05,"Washington","Walla Walla","17"
2019-06-16 13:00:05,"Washington","Wenatchee","22"
2019-06-16 13:00:05,"Washington","Winthrop","17"
2019-06-16 13:00:05,"Washington","Yacolt","15"
2019-06-16 13:00:05,"Washington","Yakima","19"
2019-06-16 14:00:05,"Washington","Aberdeen","8"
2019-06-16 14:00:05,"Washington","Anacortes","28"
2019-06-16 14:00:05,"Washington","Bellingham","20"
2019-06-16 14:00:05,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 14:00:05,"Washington","Cascade foothills of King County","25"
2019-06-16 14:00:05,"Washington","Cascade foothills of east King-Pierce counties","23"
2019-06-16 14:00:05,"Washington","Cheeka Peak","19"
2019-06-16 14:00:05,"Washington","Chehalis","11"
2019-06-16 14:00:05,"Washington","Chelan","21"
2019-06-16 14:00:05,"Washington","Clarkston","28"
2019-06-16 14:00:05,"Washington","Colville","21"
2019-06-16 14:00:05,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 14:00:05,"Washington","Confederated Tribes & Bands of Yakama Nations","18"
2019-06-16 14:00:05,"Washington","Darrington","6"
2019-06-16 14:00:05,"Washington","Ellensburg","8"
2019-06-16 14:00:05,"Washington","Everett-Marysville-Lynnwood","16"
2019-06-16 14:00:05,"Washington","Inchelium",""
2019-06-16 14:00:05,"Washington","Kennewick","45"
2019-06-16 14:00:05,"Washington","Leavenworth","18"
2019-06-16 14:00:05,"Washington","Longview","8"
2019-06-16 14:00:05,"Washington","Makah Indian Tribe of Makah Indian Reservation","8"
2019-06-16 14:00:05,"Washington","Maple Falls","10"
2019-06-16 14:00:05,"Washington","Moses Lake","23"
2019-06-16 14:00:05,"Washington","Mount Vernon","3"
2019-06-16 14:00:05,"Washington","Mt. Rainier",""
2019-06-16 14:00:05,"Washington","Naches",""
2019-06-16 14:00:05,"Washington","Nespelem",""
2019-06-16 14:00:05,"Washington","Oak Harbor","5"
2019-06-16 14:00:05,"Washington","Olympia-Lacey-Tumwater","20"
2019-06-16 14:00:05,"Washington","Omak","21"
2019-06-16 14:00:05,"Washington","Port Angeles","10"
2019-06-16 14:00:05,"Washington","Port Townsend","13"
2019-06-16 14:00:05,"Washington","Pullman","13"
2019-06-16 14:00:05,"Washington","Raymond","8"
2019-06-16 14:00:05,"Washington","Seattle-Bellevue-Kent Valley","44"
2019-06-16 14:00:05,"Washington","Shelton","21"
2019-06-16 14:00:05,"Washington","Spokane","46"
2019-06-16 14:00:05,"Washington","Spokane Tribe of Spokane Reservation","18"
2019-06-16 14:00:05,"Washington","Sunnyside","30"
2019-06-16 14:00:05,"Washington","Tacoma-Puyallup","32"
2019-06-16 14:00:05,"Washington","Twisp","20"
2019-06-16 14:00:05,"Washington","Vancouver","19"
2019-06-16 14:00:05,"Washington","Walla Walla","17"
2019-06-16 14:00:05,"Washington","Wenatchee","23"
2019-06-16 14:00:05,"Washington","Winthrop","16"
2019-06-16 14:00:05,"Washington","Yacolt","15"
2019-06-16 14:00:05,"Washington","Yakima","13"
2019-06-16 15:00:04,"Washington","Aberdeen","7"
2019-06-16 15:00:04,"Washington","Anacortes","26"
2019-06-16 15:00:04,"Washington","Bellingham","26"
2019-06-16 15:00:04,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 15:00:04,"Washington","Cascade foothills of King County","29"
2019-06-16 15:00:04,"Washington","Cascade foothills of east King-Pierce counties","23"
2019-06-16 15:00:04,"Washington","Cheeka Peak","19"
2019-06-16 15:00:04,"Washington","Chehalis","12"
2019-06-16 15:00:04,"Washington","Chelan","21"
2019-06-16 15:00:04,"Washington","Clarkston","26"
2019-06-16 15:00:04,"Washington","Colville","19"
2019-06-16 15:00:04,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 15:00:04,"Washington","Confederated Tribes & Bands of Yakama Nations","18"
2019-06-16 15:00:04,"Washington","Darrington","7"
2019-06-16 15:00:04,"Washington","Ellensburg","10"
2019-06-16 15:00:04,"Washington","Everett-Marysville-Lynnwood","20"
2019-06-16 15:00:04,"Washington","Inchelium",""
2019-06-16 15:00:04,"Washington","Kennewick","48"
2019-06-16 15:00:04,"Washington","Leavenworth","18"
2019-06-16 15:00:04,"Washington","Longview","8"
2019-06-16 15:00:04,"Washington","Makah Indian Tribe of Makah Indian Reservation","9"
2019-06-16 15:00:04,"Washington","Maple Falls","9"
2019-06-16 15:00:04,"Washington","Moses Lake","23"
2019-06-16 15:00:04,"Washington","Mount Vernon","4"
2019-06-16 15:00:04,"Washington","Mt. Rainier",""
2019-06-16 15:00:04,"Washington","Naches",""
2019-06-16 15:00:04,"Washington","Nespelem",""
2019-06-16 15:00:04,"Washington","Oak Harbor","5"
2019-06-16 15:00:04,"Washington","Olympia-Lacey-Tumwater","20"
2019-06-16 15:00:04,"Washington","Omak","10"
2019-06-16 15:00:04,"Washington","Port Angeles","11"
2019-06-16 15:00:04,"Washington","Port Townsend","12"
2019-06-16 15:00:04,"Washington","Pullman","13"
2019-06-16 15:00:04,"Washington","Raymond","8"
2019-06-16 15:00:04,"Washington","Seattle-Bellevue-Kent Valley","45"
2019-06-16 15:00:04,"Washington","Shelton","25"
2019-06-16 15:00:04,"Washington","Spokane","49"
2019-06-16 15:00:04,"Washington","Spokane Tribe of Spokane Reservation","18"
2019-06-16 15:00:04,"Washington","Sunnyside","27"
2019-06-16 15:00:04,"Washington","Tacoma-Puyallup","31"
2019-06-16 15:00:04,"Washington","Twisp","20"
2019-06-16 15:00:04,"Washington","Vancouver","23"
2019-06-16 15:00:04,"Washington","Walla Walla","17"
2019-06-16 15:00:04,"Washington","Wenatchee","23"
2019-06-16 15:00:04,"Washington","Winthrop","16"
2019-06-16 15:00:04,"Washington","Yacolt","15"
2019-06-16 15:00:04,"Washington","Yakima","7"
2019-06-16 16:00:06,"Washington","Aberdeen","7"
2019-06-16 16:00:06,"Washington","Anacortes","21"
2019-06-16 16:00:06,"Washington","Bellingham","30"
2019-06-16 16:00:06,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 16:00:06,"Washington","Cascade foothills of King County","32"
