"station.ID","station.name","type","url"
"24F070","Naselle R nr Naselle","Long-term","../station.asp?sta=24F070"
"24K060","Forks Cr abv Hatchery (outfall)","Basin","../station.asp?sta=24K060"
"25B070","Grays R nr Grays River","Basin","../station.asp?sta=25B070"
"25C070","Elochoman R nr Cathlamet","Basin","../station.asp?sta=25C070"
"25D050","Germany Cr @ mouth","Basin","../station.asp?sta=25D050"
"25E060","Abernathy Cr nr mouth","Basin","../station.asp?sta=25E060"
"25E100","Abernathy Cr @ DNR","Basin","../station.asp?sta=25E100"
"25F060","Mill Cr nr mouth","Basin","../station.asp?sta=25F060"
"25F100","Mill Cr @ DNR","Basin","../station.asp?sta=25F100"
"25G060","Coal Cr @ Harmony Rd","Basin","../station.asp?sta=25G060"
"26B070","Cowlitz R @ Kelso","Long-term","../station.asp?sta=26B070"
"26C073","Coweeman R @ 3802 Allen Street","Basin","../station.asp?sta=26C073"
"26G050","Lacamas Cr @ SR506","Basin","../station.asp?sta=26G050"
"27B070","Kalama R nr Kalama","Long-term","../station.asp?sta=27B070"
"27D090","EF Lewis R nr Dollar Corner","Long-term","../station.asp?sta=27D090"
"28B070","Washougal R @ Washougal","Basin","../station.asp?sta=28B070"
"28B085","Washougal R abv Ltl Washougal R","Basin","../station.asp?sta=28B085"
"28C070","Burnt Br Cr @ Mouth","Basin","../station.asp?sta=28C070"
"28D170","Salmon Cr @ NE 199th/Hill rd","Basin","../station.asp?sta=28D170"
"29B090","White Salmon R @ Husum St","Basin","../station.asp?sta=29B090"
"29D070","Rattlesnake Cr nr Mouth","Basin","../station.asp?sta=29D070"
"29M050","Trapper Creek @ NF","Basin","../station.asp?sta=29M050"
"31A070","Columbia R @ Umatilla","Long-term","../station.asp?sta=31A070"
"31B110","Rock Cr @ Bickleton Hwy","Basin","../station.asp?sta=31B110"
"31C012","Alder Cr @ 6 Prong Rd Bridge","Basin","../station.asp?sta=31C012"
"31D010","Pine Cr @ One Mile Bridge","Basin","../station.asp?sta=31D010"
"31E060","Glade Cr @ SR14","Basin","../station.asp?sta=31E060"
"32A070","Walla Walla R nr Touchet","Long-term","../station.asp?sta=32A070"
"32B075","Touchet R @ Cummins Rd","Basin","../station.asp?sta=32B075"
