"Station","Station Name","Station Type"
"37E070","Wide Hollow Cr @ Union Gap","Basin"
"37E100","Wide Hollow Cr @ 40th Ave","Basin"
"37F080","Sulphur Cr @ Holaday Road","Basin"
"37G050","Ahtanum Cr @ Fulbright Park","Basin"
"37J060","Snipes Cr nr Mouth","Basin"
"38A050","Naches R @ Yakima on US HWY 97","Long-term"
"39A050","Yakima R @ Harrison Bridge","Basin"
"39A055","Yakima R @ Umtanum Cr Footbridge","Long-term"
"39A090","Yakima R nr Cle Elum","Long-term"
"39B090","Cle Elum R nr Roslyn","Basin"
"39C150","WilsonCr@Sanders Rd","Basin"
"39K060","Reecer Cr in Irene Rinehart Park","Basin"
"39M050","Swauk Cr nr Cle Elum","Basin"
"39M100","Swauk Cr @ Lauderdale Junction","Basin"
"39R050","Umtanum Cr nr mouth","Basin"
"41A070","Crab Cr nr Beverly","Long-term"
"41E070","Sand Hollow Cr on Hwy 26","Basin"
"43A070","Crab Cr @ Irby","Basin"
"45A070","Wenatchee R @ Wenatchee","Long-term"
"45A110","Wenatchee R nr Leavenworth","Long-term"
"45J070","Nason Cr nr mouth","Basin"
"45K050","White R @ Road 6500 Bridge","Basin"
"45L050","Little Wenatchee R @ 2 Rvr Grav Pit","Basin"
"46A070","Entiat R nr Entiat","Long-term"
"48A070","Methow R nr Pateros","Long-term"
"48A075","Methow R nr Pateros @ Metal Br","Long-term"
"48A140","Methow R @ Twisp","Long-term"
"48A150","Methow R @ Winthrop","Basin"
"48B070","Chewuch R @ Winthrop","Basin"
"48D070","Twisp R nr Mouth","Basin"
"48E070","Poorman Creek at Poorman Cutoff Rd","Basin"
"49A070","Okanogan R @ Malott","Long-term"
"49A190","Okanogan R @ Oroville","Long-term"
"49B070","Similkameen R @ Oroville","Long-term"
"53A070","Columbia R @ Grand Coulee","Long-term"
"53C070","Hawk Cr @ Miles-Creston Rd","Basin"
"54A070","Spokane R @ Long Lake","Basin"
"54A090","Spokane R @ Ninemile Br","Basin"
"54A120","Spokane R @ Riverside State Pk","Long-term"
"54A130","Spokane R @ Fort Wright Br","Basin"
"54B100","Deep Creek @  Garfield Rd Bridge","Basin"
"54C050","Coulee Creek @ N Brooks RD","Basin"
"55B070","Little Spokane R nr Mouth","Long-term"
"56A070","Hangman Cr @ Mouth","Long-term"
"57A123","Spokane R @ Sandifer Bridge","Basin"
"57A125","Spokane R blw Monroe Street","Basin"
"57A140","Spokane R @ Plante's Ferry Park","Basin"
"57A146","Spokane R @ Sullivan Rd","Basin"
"57A148","Spokane R @ Barker Rd","Basin"
"57A150","Spokane R @ Stateline Br","Long-term"
"57A240","Spokane R @ Lake Coeur d'Alene","Basin"
"59A080","Colville R @ Greenwood Loop Rd","Long-term"
"59A110","Colville R @ Blue Cr","Basin"
"59A140","Colville R @ Newton Rd","Basin"
"59B200","Little Pend Oreille R nr NatWildRef","Basin"
"59C060","Sheep Cr @ Deer Creek Rd","Basin"
"59C070","Sheep Cr at Long Prairie Rd","Basin"
"59D070","Hunters Creek at Hunters Inn","Basin"
"60A070","Kettle R nr Barstow","Long-term"
"61A070","Columbia R @ Northport","Long-term"
"61B070","Deep Cr nr Mouth","Basin"
"61C100","Onion Cr @ Widow-Hawks Rd","Basin"
"61E070","Meadow Creek at Aladdin Rd","Basin"
"62A090","Pend Oreille R @ Metaline Falls","Long-term"
"62A150","Pend Oreille R @ Newport","Long-term"
"62B070","Skookum Cr nr Mouth","Basin"
"62C070","NF Sullivan Creek","Basin"
