"ID","STATION","STATION NAME","OVERALLWQI 2013","WQIFC","WQIOXY","WQIPH","WQITSS","WQITEMP","WQITPN","WQITP","WQITURB","CORE","CAT","Location 1","Counties","lon","lat"
67,"45A110","Wenatchee R nr Leavenworth",69,93,74,97,63,63,89,80,70,"C",3,"POINT (-120.734 47.6762)",2956,-120.734,47.6762
68,"46A070","Entiat R nr Entiat",92,88,92,89,85,80,98,92,87,"C",1,"POINT (-120.2506 47.6632)",2956,-120.2506,47.6632
69,"48A075","Methow R nr Pateros @ Metal Br",84,91,92,85,74,80,97,88,75,"C",1,"POINT (-119.9686 48.0765)",3198,-119.9686,48.0765
70,"48A140","Methow R @ Twisp",90,87,93,91,78,92,97,94,82,"C",1,"POINT (-120.1143 48.3593)",3198,-120.1143,48.3593
71,"48E070","Poorman Creek at Poorman Cutoff Rd",85,79,79,85,85,89,98,96,88,"S",1,"POINT (-120.2009 48.3672)",3198,-120.2009,48.3672
72,"49A070","Okanogan R @ Malott",68,82,81,86,64,53,98,81,74,"C",3,"POINT (-119.7045 48.2804)",3198,-119.7045,48.2804
73,"49A190","Okanogan R @ Oroville",64,99,83,72,94,43,97,95,97,"C",3,"POINT (-119.4267 48.9391)",3198,-119.4267,48.9391
74,"49B070","Similkameen R @ Oroville",75,90,93,83,62,71,98,76,62,"C",2,"POINT (-119.442 48.9346)",3198,-119.442,48.9346
75,"53A070","Columbia R @ Grand Coulee",91,100,85,91,100,68,98,100,100,"C",1,"POINT (-118.982 47.9655)",2979,-118.982,47.9655
76,"54A090","Spokane R @ Ninemile Br",80,88,77,83,77,83,42,88,76,"P",1,"POINT (-117.5448 47.7767)",3214,-117.5448,47.7767
77,"54A120","Spokane R @ Riverside State Pk",86,91,94,81,78,82,17,86,68,"C",1,"POINT (-117.4977 47.6966)",3214,-117.4977,47.6966
78,"55B070","Little Spokane R nr Mouth",66,83,74,84,59,78,56,78,63,"C",3,"POINT (-117.5305 47.7829)",3214,-117.5305,47.7829
79,"56A070","Hangman Cr @ Mouth",21,72,95,60,43,52,1,23,28,"C",4,"POINT (-117.4543 47.6546)",3214,-117.4543,47.6546
80,"57A150","Spokane R @ Stateline Br",79,100,87,93,89,57,100,100,96,"C",2,"POINT (-117.0446 47.6985)",3214,-117.0446,47.6985
81,"59A080","Colville R @ Greenwood Loop Rd",44,74,89,76,33,63,89,45,33,"C",3,"POINT (-117.9923 48.5886)",2741,-117.9923,48.5886
82,"59B200","Little Pend Oreille R nr NatWildRef",75,75,92,89,60,88,100,73,64,"S",2,"POINT (-117.7173 48.4569)",2741,-117.7173,48.4569
83,"59D070","Hunters Creek at Hunters Inn",46,59,80,83,37,82,98,51,42,"B",3,"POINT (-118.2027 48.1175)",2741,-118.2027,48.1175
84,"60A070","Kettle R nr Barstow",63,90,77,77,36,49,100,66,54,"C",3,"POINT (-118.1253 48.7846)",2741,-118.1253,48.7846
85,"61A070","Columbia R @ Northport",82,82,80,86,77,67,100,100,87,"C",1,"POINT (-117.7766 48.9224)",2741,-117.7766,48.9224
86,"61E070","Meadow Creek at Aladdin Rd",81,89,82,78,65,89,100,79,73,"B",1,"POINT (-117.6649 48.7456)",2741,-117.6649,48.7456
87,"62A090","Pend Oreille R @ Metaline Falls",79,92,84,79,74,66,100,98,74,"C",2,"POINT (-117.3733 48.8649)",3209,-117.3733,48.8649
88,"62A150","Pend Oreille R @ Newport",77,100,88,74,75,59,100,100,82,"C",2,"POINT (-117.0352 48.1847)",1689,-117.0352,48.1847
89,"62C070","NF Sullivan Creek",86,95,89,88,67,96,100,82,73,"S",1,"POINT (-117.328 48.8602)",3209,-117.328,48.8602
1,"01A050","Nooksack R @ Brennan",61,84,85,93,40,83,54,45,48,"C",3,"POINT (-122.58 48.819)",2744,-122.58,48.819
2,"01A120","Nooksack R @ No Cedarville",70,91,89,96,45,85,90,55,60,"C",3,"POINT (-122.2936 48.8416)",2744,-122.2936,48.8416
