bwt_month,bwt_day,bwt_hour,cv_time_avg,xcv_time_avg,pv_time_avg,xpv_time_avg,pv_ready_lanes_time_avg,ped_time_avg,ped_ready_lanes_time_avg
1,5,15,0,0,60,11,45,21,5
1,5,16,0,0,68,13,48,25,5
1,5,17,0,0,73,11,50,29,5
1,5,18,0,0,76,11,54,29,5
1,5,19,0,0,76,11,49,21,5
1,5,20,0,0,68,10,50,8,4
1,5,21,0,0,70,8,43,5,4
1,5,22,0,0,64,6,38,5,3
1,5,23,0,0,61,6,39,5,5
1,6,0,0,0,48,5,29,5,5
1,6,1,0,0,40,5,25,5,5
1,6,2,0,0,25,5,16,5,5
1,6,3,0,0,11,5,10,5,5
1,6,4,0,0,10,5,10,5,5
1,6,5,0,0,13,5,10,6,6
1,6,6,0,0,15,5,11,6,6
1,6,7,0,0,13,5,9,6,6
1,6,8,0,0,16,5,13,6,6
1,6,9,0,0,20,6,15,8,8
1,6,10,0,0,28,9,20,11,11
1,6,11,0,0,31,11,24,13,13
1,6,12,0,0,41,11,33,20,20
1,6,13,0,0,56,13,45,29,29
1,6,14,0,0,64,14,49,38,38
1,6,15,0,0,58,13,58,40,11
1,6,16,0,0,58,13,56,38,11
1,6,17,0,0,70,11,51,38,5
1,6,18,0,0,66,11,48,35,5
1,6,19,0,0,66,13,43,29,4
1,6,20,0,0,59,11,38,16,1
1,6,21,0,0,53,10,33,10,0
1,6,22,0,0,45,8,26,6,0
1,6,23,0,0,39,5,20,5,3
2,0,0,0,0,28,6,15,5,1
2,0,1,0,0,25,5,14,5,1
2,0,2,0,0,24,5,10,5,1
2,0,3,0,0,21,5,14,5,1
2,0,4,0,0,26,5,23,8,1
2,0,5,0,0,36,8,29,8,3
2,0,6,0,0,44,9,35,11,5
2,0,7,0,0,50,14,39,15,8
2,0,8,0,0,46,13,39,21,10
2,0,9,0,0,46,13,40,25,10
2,0,10,0,0,48,13,40,25,10
2,0,11,0,0,50,13,41,26,8
2,0,12,0,0,60,14,49,28,8
2,0,13,0,0,65,14,56,31,8
2,0,14,0,0,78,14,64,31,8
2,0,15,0,0,70,11,55,23,4
2,0,16,0,0,60,10,46,18,3
2,0,17,0,0,43,10,28,13,3
2,0,18,0,0,41,8,31,13,3
2,0,19,0,0,8,5,7,5,2
2,0,20,0,0,36,6,26,11,3
2,0,21,0,0,34,6,25,11,3
2,0,22,0,0,30,6,21,10,3
2,0,23,0,0,30,5,23,5,1
2,1,0,0,0,26,5,20,5,1
2,1,1,0,0,14,5,8,5,1
2,1,2,0,0,18,5,11,5,1
