port_number,border,port_name,crossing_name,hours,date,time,port_status,construction_notice,automation,automation_enabled,update_time,operational_status,delay_minutes,lanes_open,lane_type
250401,Mexican Border,San Ysidro,,24 hrs/day,1/12/2021,17:26:07,Open,,0,0,,N/A,,,commercial_vehicle_lanes
250401,Mexican Border,San Ysidro,,24 hrs/day,1/12/2021,17:26:07,Open,,0,0,At 5:00 pm PST,delay,40,3,passenger_vehicle_lanes
250401,Mexican Border,San Ysidro,,24 hrs/day,1/12/2021,17:26:07,Open,,0,0,At 5:00 pm PST,delay,30,9,pedestrian_lanes
250409,Mexican Border,San Ysidro,Cross Border Express,24 hrs/day,1/12/2021,17:26:08,Open,,0,0,,N/A,,,commercial_vehicle_lanes
250409,Mexican Border,San Ysidro,Cross Border Express,24 hrs/day,1/12/2021,17:26:08,Open,,0,0,,N/A,,,passenger_vehicle_lanes
250409,Mexican Border,San Ysidro,Cross Border Express,24 hrs/day,1/12/2021,17:26:08,Open,,0,0,At 4:00 pm PST,no delay,0,1,pedestrian_lanes
250407,Mexican Border,San Ysidro,PedWest,24 hrs/day,1/12/2021,17:26:09,Open,,0,0,,N/A,,,commercial_vehicle_lanes
250407,Mexican Border,San Ysidro,PedWest,24 hrs/day,1/12/2021,17:26:09,Open,,0,0,,N/A,,,passenger_vehicle_lanes
250407,Mexican Border,San Ysidro,PedWest,24 hrs/day,1/12/2021,17:26:09,Open,,0,0,,Lanes Closed,,,pedestrian_lanes
