native_id,latitude,longitude,lambert_x,lambert_y,D2A1,A1_50,A23_400,Pop_5000,D2C,D2Comm,Int_3000
grid_la_12033,34.0068951098746,-117.548487934252,-1968744.69646925,-317253.305658781,2.184691430817599,0,0,0.39777,0.15,0.2112,0.038100035283416066
grid_la_11692,34.0018951526547,-118.298487807717,-2036044.84363024,-301264.763403872,3.2027606873931997,0,0.0689,4.91068,0.13415,0.0226,0.27096048767828873
grid_la_101,33.696895169933,-117.998487882577,-2017291.61470124,-340739.875706882,3.5486350598147514,0,0,1.89325,0.0363,0.0558,0.24305040572823985
grid_la_9556,33.9468951685655,-118.473487782941,-2053189.08476578,-303234.446246073,3.749890841271422,0,0,0.37772,0.01924,0.3319,0.008596153741138495
grid_la_12249,34.0168951555165,-118.378487793111,-2042796.61060603,-297858.222264524,3.2823955047425257,0,0,3.1791,0.07079,0.0745,0.2608508884020334
grid_la_13043,34.036895144836,-118.228487816604,-2028842.80101926,-299070.248458969,2.792391689498254,0,0.2103,3.76641,0.15,0.087,0.2676257644527444
grid_la_1649,33.7368951599113,-117.898487896321,-2007242.54195279,-338651.485130837,3.5945030438200893,0,0,3.72351,0.13041,0,0.2608752373845496
grid_la_13176,34.0368951073187,-117.563487929253,-1969308.40744945,-313699.183964798,3.0729847446279304,0,0.1108,0.30585,0.15,0.132,0.022783109353071727
grid_la_11600,33.9968951253373,-117.803487891608,-1991859.44881084,-312772.469389328,3.3684728384403617,0,0.1577,0.77394,0.15,0.2106,0.03680893335182377
grid_la_18198,34.1718951305077,-118.238487803846,-2026115.60080877,-284344.320006418,3.149834696715785,0,0,1.91867,0.15,0.0894,0.1616393863729469
grid_la_7578,33.8918951402269,-117.858487890746,-1999557.0451333,-322859.327192933,3.3109056293761414,0,0.0956,1.28835,0.15,0,0.2055139474486909
grid_la_9154,33.9318951223014,-117.61848792835,-1976976.58475248,-323806.360572244,3.53832233323144,0,0,0.21761,0.15,0.202,0.016884229475583993
grid_la_8329,33.9118951416116,-117.92348787813,-2004858.21236933,-319276.04578573,3.5652573434202135,0,0,1.48931,0.15,0.0242,0.24095249641881458
grid_la_13139,34.0368951177426,-117.748487897707,-1985881.33164629,-309673.226997589,3.016615547557177,0,0.1595,1.71327,0.15,6e-4,0.1701188997159448
grid_la_1675,33.7368951527365,-117.768487918364,-1995556.08224565,-341514.588924546,2.0043213737826426,0,0,0.96747,0.15,0.3026,0.02922512579882828
grid_la_11121,33.9868951537477,-118.288487810611,-2035553.49324306,-303100.179106741,2.8524799936368566,0,0.12,4.86139,0.14137,0.0057,0.27347091610373403
grid_la_14576,34.0768951389988,-118.203487817534,-2025535.12367853,-295330.335612427,3.1166077439882485,0,0.0411,3.32226,0.15,0.0099,0.22741697019547863
grid_la_5791,33.8468951642276,-118.198487836992,-2031248.57993179,-320157.317832042,2.803457115648414,0,0.1591,2.09408,0.07815,0,0.23764610433477187
grid_la_18254,34.1718951145418,-117.958487851029,-2001106.93201327,-290548.636312433,3.5796692935547205,0,0,0.37923,0.15,0.2817,0.029653503310200842
grid_la_3985,33.7968951409549,-117.678487928917,-1985892.48332976,-337028.59673657,3.6267508536833932,0,0,0.03521,0.15,0.4655,1.524264731626811e-4
grid_la_10135,33.9618951652297,-118.443487786727,-2050098.14453636,-302301.006766004,3.4050046650503694,0,0.1459,1.28953,0.00694,0.0437,0.1359410814135464
grid_la_6203,33.8568951547514,-118.04848786143,-2017528.22241443,-322423.875971999,2.890421018800914,0,0.2728,2.29651,0.13176,0.0862,0.22636056742944435
grid_la_1029,33.7218951745717,-118.13348785786,-2028758.36961279,-335046.145284777,3.7988577317474856,0,0,0.28515,0.02616,0.3088,0.0011011297604660232
grid_la_12815,34.0318951558454,-118.413487786042,-2045521.00163858,-295460.046714164,1.5314789170422551,0.0071,0.2791,3.25935,0.06121,0.0301,0.2680626665001865
grid_la_5802,33.8468951611624,-118.143487846234,-2026315.99732562,-321385.203888101,3.5234863323432277,0,0.3147,2.39795,0.09603,0.0145,0.2600229854990563
grid_la_15265,34.0918951044877,-117.623487914522,-1973248.77225537,-306478.531571567,3.1075491297446862,0,0.0795,1.64089,0.15,0.0485,0.18380152363570132
grid_la_7026,33.8768951360615,-117.753487909773,-1990530.46477152,-326778.262765687,2.9180303367848803,0,0.4269,0.76704,0.15,0.2343,0.03413767240361547
grid_la_930,33.7168951497718,-117.673487936101,-1987536.83043803,-345749.21480775,3.4670158184384356,0,0,0.10066,0.15,0.2809,0.0012572011532947461
grid_la_4189,33.8018951367864,-117.6134879396,-1979920.44103751,-337908.703052649,3.9253120914996495,0,0,0.04789,0.15,0.6514,1.524264731626811e-4
grid_la_10331,33.9668951632728,-118.418487790494,-2047725.84211062,-302327.726612823,3.1958996524092336,0,0,1.73064,0.02381,0,0.22531436715651149
grid_la_9517,33.9418951264849,-117.713487911354,-1985236.47443449,-320659.130960841,3.5336449787987627,0,0,0.36726,0.15,0.2767,0.005605064793547796
grid_la_6588,33.8668951527964,-118.033487863159,-2015916.74126574,-321681.566547202,2.9111576087399764,0,0,2.20936,0.14822,0.035,0.21969178481958615
grid_la_6938,33.8768951606114,-118.193487835427,-2029996.72257038,-317044.820586604,1.724275869600789,0,0.1128,2.93168,0.11174,0.0475,0.26196391201897723
grid_la_8845,33.9268951558959,-118.208487828884,-2030001.39659946,-311336.401263162,2.3729120029701067,0,0.1393,4.03216,0.15,0,0.27911265908629584
grid_la_168,33.6968951514986,-117.66348793938,-1987160.45179946,-348120.928679393,3.2598326990634834,0,0,0.29869,0.15,0.4066,0.003182051691138009
grid_la_3396,33.7818951470853,-117.758487916498,-1993474.74385994,-336891.363651926,2.5998830720736876,0,0.1603,0.52256,0.15,0.293,0.029955929758103378
grid_la_3048,33.7718951388194,-117.588487946247,-1978455.63785965,-341682.940808541,3.9252605095194353,0,0,0.01581,0.15,0.5614,0.0019412478599749462
grid_la_4939,33.8218951383951,-117.683487926076,-1985687.27409429,-334228.535974737,3.4795753101749884,0,0,0.0533,0.15,0.6679,1.524264731626811e-4
grid_la_5391,33.8368951703545,-118.288487822701,-2039587.42757375,-319216.108748295,1.99563519459755,0,0.2546,1.94783,0.07586,0.0016,0.2463294893855268
grid_la_12956,34.0318951160513,-117.708487904921,-1982429.70330112,-311084.519377893,2.250420002308894,0,0.1459,1.70886,0.15,0.0246,0.20784510898814704
