fac_name,fac_title,fac_degree
"Levy, Karen",Associate Professor,
"Li, Christopher",Research Professor,"MD, PhD, MPH"
"Lila, Eardi",Assistant Professor,
"Lindstroem, Sara",Assistant Professor,"MSc, PhD"
"Lingappa, Jairam",Professor,"MD, PhD"
"Lingappa, Jaisri",Professor,"MD, PhD"
"Littman, Alyson",Research Professor,"MPH, PhD"
"Lober, William",Professor,"MD, MS"
"Lund, Anne",Associate Teaching Professor,RDN
"Lund, Jennifer",Associate Professor,"PhD, MS"
"Mackenzie, Sara",Teaching Professor,"MPH, MD"
"Madeleine, Margaret",Research Associate Professor,"PhD, MPH"
"Malone, Kathleen",Research Professor,"PhD, MPH"
"Manhart, Lisa",Professor and Associate Dean,"MPH, PhD"
"May, Susanne",Professor,PhD
"McClelland, Robyn",Research Professor,"PhD, MS"
"McClelland, Scott",Professor,"MD, MPH"
"McGrath, Christine",Assistant Professor,"PhD, MPH"
"McTiernan, Anne",Research Professor,"MD, PhD"
"Means, Arianna",Acting Assistant Professor,
"Meischke, Hendrika",Professor,"PhD, MPH"
"Meschke, Scott",Professor,"JD, PhD, MS"
"Mock, Charlie",Professor,"MD, PhD, MPH"
"Monroe-Wise, Aliza",Acting Assistant Professor,
"Mooney, Steve J.",Assistant Professor,
"Mueller, Beth",Professor,"DPH, MPH"
"Mugambi, Melissa",Assistant Professor,"PhD, MD"
"Mugo, Nelly",Research Associate Professor,
"Mugwanya, Kenneth",Assistant Professor,"MBChB, MS"
"Mullins, James",Professor,PhD
"Newcomb, Polly",Research Professor,"PhD, MPH"
"O'Brien, Kurt",Associate Teaching Professor,MHROD
"O'Laughlin, Kelli",Assistant Professor,
"O'Malley, Gabrielle",Associate Professor,"PhD, MA"
"Ornelas, India",Associate Professor,"PhD, MPH"
"Ortblad, Katrina",Acting Assistant Professor,
"Otten, Jennifer",Associate Professor,"PhD, MS, BS"
"Pavlinac, Patricia",Assistant Professor,"MS, PhD"
"Perrone, Lucy",Assistant Professor,"PhD, MSPH"
"Peters, Ulrike",Research Professor,"PhD, MPH"
"Petrescu-Prahova, Miruna",Associate Teaching Professor,"PhD, MA"
"Pfeiffer, James",Professor,"PhD, MPH, MA"
"Phipps, Amanda",Associate Professor,"PhD, MPH"
"Prentice, Ross",Professor,"PhD, MSc"
"Psaty, Bruce",Professor,"MD, PhD, MPH, MA"
"Puttkammer, Nancy",Assistant Professor,"PhD, MPH"
"Rabinowitz, Peter",Professor,"MD, MPH"
